Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.4112	3.874442
0.4113	9.420466
0.4114	15.640306
0.4115	3.317248
0.4116	3.511618
0.4117	-3.576408
0.4118	0.116622
0.4119	12.815462
0.412	-4.548258
0.4121	5.999554
0.4122	18.218948
0.4123	18.322612
0.4124	3.770778
0.4125	15.782844
0.4126	19.229672
0.4127	4.392762
0.4128	15.264524
0.4129	1.42538
0.413	23.285526
0.4131	25.708672
0.4132	31.902596
0.4133	37.137628
0.4134	28.89634
0.4135	31.306528
0.4136	17.843166
0.4137	25.33289
0.4138	17.94683
0.4139	18.607688
0.414	9.809206
0.4141	10.43119
0.4142	18.776142
0.4143	6.038428
0.4144	17.609922
0.4145	27.613498
0.4146	9.757374
0.4147	19.812782
0.4148	18.65952
0.4149	10.3664
0.415	16.288206
0.4151	25.306974
0.4152	25.13852
0.4153	11.519662
0.4154	14.888742
0.4155	35.038432
0.4156	26.680522
0.4157	27.2118
0.4158	45.301168
0.4159	33.483472
0.416	9.744416
0.4161	17.584006
0.4162	18.98347
0.4163	12.89321
0.4164	17.804292
0.4165	26.343614
0.4166	19.916446
0.4167	0.958892
0.4168	18.646562
0.4169	12.413764
0.417	14.953532
0.4171	15.769886
0.4172	3.122878
0.4173	1.736372
0.4174	-0.544236
0.4175	3.071046
0.4176	13.230118
0.4177	10.30161
0.4178	-5.37757
0.4179	-14.940574
0.418	-15.03128
0.4181	-17.661754
0.4182	2.500894
0.4183	19.035302
0.4184	16.871316
0.4185	-0.220286
0.4186	-3.084004
0.4187	7.100984
0.4188	19.683202
0.4189	-5.131368
0.419	-9.018768
0.4191	-24.283292
0.4192	-11.027258
0.4193	-12.37489
0.4194	-20.046026
0.4195	-0.220286
0.4196	-6.41421
0.4197	4.911082
0.4198	-5.610814
0.4199	-16.58624
0.42	-8.591154
0.4201	0.505362
0.4202	-8.331994
0.4203	-16.158626
0.4204	-17.324846
0.4205	-10.858804
0.4206	1.827078
0.4207	-14.05943
0.4208	-27.8597
0.4209	-28.76676
0.421	-19.475874
0.4211	-17.273014
0.4212	-36.80072
0.4213	-50.095628
0.4214	-42.929854
0.4215	-29.116626
0.4216	-45.93611
0.4217	-39.97543
0.4218	-32.52458
0.4219	-34.46828
0.422	-17.16935
0.4221	-41.089818
0.4222	-36.08803
0.4223	-39.19795
0.4224	-46.739506
0.4225	-58.57016
0.4226	-46.156396
0.4227	-31.306528
0.4228	-51.24889
0.4229	-51.274806
0.423	-49.020114
0.4231	-58.673824
0.4232	-47.568818
0.4233	-42.346744
0.4234	-49.007156
0.4235	-48.255592
0.4236	-52.764976
0.4237	-61.654164
0.4238	-50.626906
0.4239	-43.137182
0.424	-34.869978
0.4241	-45.689908
0.4242	-53.697952
0.4243	-42.320828
0.4244	-38.861042
0.4245	-50.639864
0.4246	-48.087138
0.4247	-49.914216
0.4248	-57.20957
0.4249	-46.38964
0.425	-41.232356
0.4251	-38.070604
0.4252	-43.86283
0.4253	-50.458452
0.4254	-46.169354
0.4255	-42.022794
0.4256	-50.92494
0.4257	-49.732804
0.4258	-43.111266
0.4259	-35.37534
0.426	-57.170696
0.4261	-43.357468
0.4262	-34.714482
0.4263	-35.69929
0.4264	-49.473644
0.4265	-62.600098
0.4266	-71.774362
0.4267	-62.898132
0.4268	-47.011624
0.4269	-42.839148
0.427	-41.4656
0.4271	-48.72208
0.4272	-46.221186
0.4273	-36.489728
0.4274	-41.01207
0.4275	-38.796252
0.4276	-46.869086
0.4277	-40.701078
0.4278	-45.728782
0.4279	-47.581776
0.428	-49.421812
0.4281	-46.26006
0.4282	-43.318594
0.4283	-44.329318
0.4284	-40.973196
0.4285	-25.099646
0.4286	-23.181862
0.4287	-27.056304
0.4288	-9.174264
0.4289	-28.287314
0.429	-16.78061
0.4291	-15.860592
0.4292	-29.298038
0.4293	-25.384722
0.4294	-31.915554
0.4295	-23.039324
0.4296	-29.453534
0.4297	-28.300272
0.4298	-18.672478
0.4299	-17.894998
0.43	-17.467384
0.4301	-18.180074
0.4302	-4.27614
0.4303	4.483468
